Source File: Q:\Profilers\WLP-0002\Build - 06092014\2014_06_03WLP-002QuarryTesting\01554008.DBG
Processed: 07/16/2014 10:19:05
Using Version: 1.11
Device: PDBG
Start Date: 06/04/2014
Timestamp (s)	Depth (dbar)	Suspect Timestamp	Data
1401874184.414	0.000	n	NOT,1,WK*5
1401874184.418	0.000	n	Winch WK. status was = 01470000
1401874184.745	0.000	n	S,1,00000060*3
1401874184.774	0.000	n	DATE,2,6/4/2014,09:29:44*5
1401874184.835	0.000	n	LOG,2,1,01553939.WC*0
1401874185.435	0.000	n	S,1,00000170*3
1401874186.437	0.000	n	S,1,00000172*3
1401874186.437	0.000	n	Getting Descent Battery Status
1401874186.438	0.000	n	ubs BF:1 mode:2
1401874186.439	0.000	n	ubs BF:1 now mode:4
1401874186.440	0.000	n	ubs BF:2 mode:2
1401874186.441	0.000	n	ubs BF:2 now mode:4
1401874188.953	0.000	n	GP
1401874188.953	0.000	n	-772603,30.0
1401874188.958	0.000	n	Get Stat for bat =1
1401874188.968	0.000	n	quit/status test i=0
1401874188.969	0.000	n	status test BF:1 mode:4 ct:6
1401874188.971	0.000	n	status test BF:2 mode:4 ct:6
1401874188.977	0.000	n	STPM,1,0*4
1401874188.989	0.000	n	GP,2,-772603,30.00*5
1401874189.001	0.000	n	S,1,00000173*3
1401874189.034	0.000	y	&01q0 ZZZZd- 33.15  0.54  20.3 4.131 4.155 0  985.47   0:45:39 m 0 0    0
1401874189.458	0.000	n	Get Stat for bat =2
1401874189.468	0.000	n	quit/status test i=0
1401874189.470	0.000	n	status test BF:1 mode:1 ct:5
1401874189.471	0.000	n	status test BF:2 mode:4 ct:6
1401874189.532	0.000	y	&02q0 d- 33.13  0.78  20.2 4.130 4.154 0  962.69   0:45:46 m 0 0    0
1401874189.959	0.000	n	Sending Bat Disable
1401874189.968	0.000	n	quit/status test i=0
1401874189.970	0.000	n	status test BF:1 mode:1 ct:5
1401874189.971	0.000	n	status test BF:2 mode:1 ct:5
1401874189.979	0.000	n	S,1,000001B3*4
1401874190.023	0.000	n	WD off detected for bat 01 with mode 1
1401874190.021	0.000	y	&01wf 1
1401874190.460	0.000	n	Sending Bat Disable
1401874190.470	0.000	n	quit/status test i=1
1401874190.471	0.000	n	status test BF:1 mode:2 ct:6
1401874190.472	0.000	n	status test BF:2 mode:1 ct:5
1401874190.688	0.000	n	WD off detected for bat 02 with mode 1
1401874190.686	0.000	y	&02wf 1
1401874190.961	0.000	n	quit/status test i=2
1401874190.962	0.000	n	status test BF:1 mode:2 ct:6
1401874190.964	0.000	n	status test BF:2 mode:2 ct:6
1401874191.028	0.000	n	SUM:1.17,1.16,0.77,32.0,-772609,01553939.PPB,64797,1020772352,74,6,33.13,4.130,962.69,2
1401874207.989	0.000	n	S,1,00001372*3
