Source File: Q:\Profilers\WLP-0002\Build - 06092014\2014_06_03WLP-002QuarryTesting\01554583.DBG
Processed: 07/16/2014 10:19:30
Using Version: 1.11
Device: PDBG
Start Date: 06/04/2014
Timestamp (s)	Depth (dbar)	Suspect Timestamp	Data
1401875381.806	0.000	n	NOT,1,WK*5
1401875381.810	0.000	n	Winch WK. status was = 01C70000
1401875382.154	0.000	n	S,1,00000060*3
1401875382.179	0.000	n	DATE,2,6/4/2014,09:49:42*5
1401875382.237	0.000	n	LOG,2,1,01554078.WC*0
1401875382.827	0.000	n	S,1,00000170*3
1401875383.828	0.000	n	S,1,00000172*3
1401875383.829	0.000	n	Getting Descent Battery Status
1401875383.830	0.000	n	ubs BF:1 mode:2
1401875383.830	0.000	n	ubs BF:1 now mode:4
1401875383.831	0.000	n	ubs BF:2 mode:2
1401875383.832	0.000	n	ubs BF:2 now mode:4
1401875386.344	0.000	n	GP
1401875386.344	0.000	n	-772603,30.0
1401875386.349	0.000	n	Get Stat for bat =1
1401875386.359	0.000	n	quit/status test i=0
1401875386.361	0.000	n	status test BF:1 mode:4 ct:6
1401875386.362	0.000	n	status test BF:2 mode:4 ct:6
1401875386.368	0.000	n	STPM,1,0*4
1401875386.381	0.000	n	GP,2,-772603,30.00*5
1401875386.394	0.000	n	S,1,00000173*3
1401875386.424	0.000	y	&01q0 d- 33.15  0.54  20.1 4.130 4.155 0  982.01   1:05:03 m 0 0    0
1401875386.850	0.000	n	Get Stat for bat =2
1401875386.860	0.000	n	quit/status test i=0
1401875386.861	0.000	n	status test BF:1 mode:1 ct:5
1401875386.863	0.000	n	status test BF:2 mode:4 ct:6
1401875386.900	0.000	y	&02q0 d- 33.09  1.42  20.1 4.128 4.152 0  959.44   1:05:12 m 0 0    0
1401875387.351	0.000	n	Sending Bat Disable
1401875387.360	0.000	n	quit/status test i=0
1401875387.362	0.000	n	status test BF:1 mode:1 ct:5
1401875387.363	0.000	n	status test BF:2 mode:1 ct:5
1401875387.371	0.000	n	S,1,000001B3*4
1401875387.407	0.000	n	WD off detected for bat 01 with mode 1
1401875387.405	0.000	y	&01wf 1
1401875387.851	0.000	n	Sending Bat Disable
1401875387.861	0.000	n	quit/status test i=1
1401875387.862	0.000	n	status test BF:1 mode:2 ct:6
1401875387.863	0.000	n	status test BF:2 mode:1 ct:5
1401875387.908	0.000	n	WD off detected for bat 02 with mode 1
1401875387.906	0.000	y	&02wf 1
1401875388.351	0.000	n	quit/status test i=2
1401875388.353	0.000	n	status test BF:1 mode:2 ct:6
1401875388.354	0.000	n	status test BF:2 mode:2 ct:6
1401875388.428	0.000	n	SUM:1.17,1.16,0.77,32.0,-772609,01554078.PPB,64878,1019969536,90,8,33.09,4.128,959.44,2
1401875405.374	0.000	n	S,1,00000372*3
1401875405.375	0.000	n	Home shutting down inst
1401875406.746	0.000	n	SUM,5,1.420,32.1,-772609,1023967232,8*0
1401875406.754	0.000	n	wd=1.42,wv=32.1,wp=-772609
1401875406.755	0.000	n	new scooch pos=-766598
1401875406.846	0.000	n	LOG,2,0,01554078.WC*0
1401875406.848	0.000	n	cwf=01554078.WC nwf=01554583.WC
1401875406.849	0.000	n	TYPE for 01554078.WC
1401875406.894	0.000	n	TYPE,2,\140603\01554078.WC,66275*5
1401875406.941	0.000	n	Receiving file 01554078.WC of 66275 bytes
1401875416.035	0.000	n	TYPE,1,DONE*7
1401875416.035	0.000	n	wc TYPE done, not deleting
1401875416.243	0.000	n	setting wof to cwlf:01554078.WC
1401875416.509	0.000	n	Q*0
1401875416.509	0.000	n	Winch Quit received.
1401875434.135	0.000	n	Bedtime: turning CTD on to check bedtime depth
1401875435.969	0.000	n	startDepth:1.165
1401875435.972	0.000	n	CTD depth of 1.165 at 1401875435 after early wake to check depth
1401875435.973	0.000	n	Turning off CTD
1401875735.975	0.000	n	Turning CTD back on at 1401875735 to check depth
1401875737.808	0.000	n	startDepth:1.168
1401875737.811	0.000	n	CTD depth of 1.168 at 1401875737 after early wake to check depth
1401875737.812	0.000	n	Turning off CTD
1401876037.814	0.000	n	Turning CTD back on at 1401876037 to check depth
1401876039.647	0.000	n	startDepth:1.164
1401876039.650	0.000	n	CTD depth of 1.164 at 1401876039 after early wake to check depth
1401876039.651	0.000	n	Turning off CTD
1401876339.652	0.000	n	Turning CTD back on at 1401876339 to check depth
1401876341.486	0.000	n	startDepth:1.163
1401876341.488	0.000	n	CTD depth of 1.163 at 1401876341 after early wake to check depth
1401876341.489	0.000	n	Turning off CTD
1401876641.491	0.000	n	Turning CTD back on at 1401876641 to check depth
1401876643.325	0.000	n	startDepth:1.168
1401876643.328	0.000	n	CTD depth of 1.168 at 1401876643 after early wake to check depth
1401876643.329	0.000	n	Turning off CTD
1401876943.331	0.000	n	Turning CTD back on at 1401876943 to check depth
1401876945.165	0.000	n	startDepth:1.165
1401876945.168	0.000	n	CTD depth of 1.165 at 1401876945 after early wake to check depth
1401876945.168	0.000	n	Turning off CTD
1401877245.171	0.000	n	Turning CTD back on at 1401877245 to check depth
1401877247.005	0.000	n	startDepth:1.161
1401877247.008	0.000	n	CTD depth of 1.161 at 1401877247 after early wake to check depth
1401877247.008	0.000	n	Turning off CTD
1401877547.011	0.000	n	Turning CTD back on at 1401877547 to check depth
1401877548.845	0.000	n	startDepth:1.162
1401877548.848	0.000	n	CTD depth of 1.162 at 1401877548 after early wake to check depth
1401877548.849	0.000	n	Turning off CTD
1401877848.850	0.000	n	Turning CTD back on at 1401877848 to check depth
1401877850.685	0.000	n	startDepth:1.163
1401877850.687	0.000	n	CTD depth of 1.163 at 1401877850 after early wake to check depth
1401877850.688	0.000	n	Turning off CTD
1401878024.648	0.000	n	$PWETA,,,PC,P0,PST,3,11:00:01,06/04/2014,1577*48
1401878066.037	0.000	n	$PWETA,,,PC,P0,PST,3,10:40:00,06/04/2014,335*7D
1401878150.690	0.000	n	Turning CTD back on at 1401878150 to check depth
1401878152.524	0.000	n	startDepth:1.160
1401878152.527	0.000	n	CTD depth of 1.160 at 1401878152 after early wake to check depth
1401878152.527	0.000	n	Turning off CTD
1401878390.001	0.000	n	Start time at 1401878390 while checking depth from prev ps 13
1401878390.376	0.000	n	ACS over pkt size
1401878392.192	0.000	n	startDepth:1.160
1401878393.502	0.000	n	NOT,1,WK*5
1401878393.505	0.000	n	Winch WK. status was = 01870000
1401878393.844	0.000	n	S,1,00000060*3
1401878393.861	0.000	n	DATE,2,6/4/2014,10:39:53*5
1401878393.940	0.000	n	LOG,2,1,01554583.WC*0
1401878394.519	0.000	n	S,1,00000170*3
1401878395.531	0.000	n	S,1,00000172*3
1401878395.532	0.000	n	Skipping start setup
1401878395.551	0.000	n	D,1,1.411*0
1401878395.561	0.000	n	Winch Depth = 1.41
1401878395.561	0.000	n	Depth ok. Changing to PRO_START
1401878400.009	0.000	n	START GO
1401878400.009	0.000	n	0.70,10.0
1401878400.010	0.000	n	Getting Setup Battery Status
1401878400.011	0.000	n	ubs BF:1 mode:2
1401878400.012	0.000	n	ubs BF:1 now mode:4
1401878400.013	0.000	n	ubs BF:2 mode:2
1401878400.014	0.000	n	ubs BF:2 now mode:4
1401878400.042	0.000	n	GO,2,0.700,10.00*4
1401878400.516	0.000	n	Get Stat for bat =1
1401878400.526	0.000	n	quit/status test i=0
1401878400.527	0.000	n	status test BF:1 mode:4 ct:6
1401878400.528	0.000	n	status test BF:2 mode:4 ct:6
1401878400.602	0.000	n	S,1,000001B3*4
1401878400.581	0.000	y	&01q0 d- 33.15  1.02  19.7 4.128 4.153 0  975.94   1:54:09 m 0 0    0
1401878401.017	0.000	n	Get Stat for bat =2
1401878401.027	0.000	n	quit/status test i=0
1401878401.028	0.000	n	status test BF:1 mode:1 ct:5
1401878401.029	0.000	n	status test BF:2 mode:4 ct:6
1401878401.087	0.000	y	&02q0 d- 33.13  0.83  19.7 4.128 4.153 0  953.42   1:54:25 m 0 0    0
1401878401.518	0.000	n	Sending Bat Disable
1401878401.528	0.000	n	quit/status test i=0
1401878401.530	0.000	n	status test BF:1 mode:1 ct:5
1401878401.531	0.000	n	status test BF:2 mode:1 ct:5
1401878401.598	0.000	n	WD off detected for bat 01 with mode 1
1401878401.596	0.000	y	&01wf 1
1401878402.018	0.000	n	Sending Bat Disable
1401878402.028	0.000	n	quit/status test i=1
1401878402.030	0.000	n	status test BF:1 mode:2 ct:6
1401878402.031	0.000	n	status test BF:2 mode:1 ct:5
1401878402.097	0.000	n	WD off detected for bat 02 with mode 1
1401878402.095	0.000	y	&02wf 1
1401878402.355	0.000	n	ACS over pkt size
1401878402.520	0.000	n	quit/status test i=2
1401878402.522	0.000	n	status test BF:1 mode:2 ct:6
1401878402.523	0.000	n	status test BF:2 mode:2 ct:6
1401878402.600	0.000	n	SUM:1.16,1.16,23364640.00,32.1,-772609,01554078.PPB,64878,1019887616,90,8,33.09,4.128,959.44,2
1401878402.844	0.000	n	ACS over pkt size
1401878403.331	0.000	n	ACS over pkt size
1401878403.821	0.000	n	ACS over pkt size
1401878404.314	0.000	n	ACS over pkt size
1401878404.809	0.000	n	ACS over pkt size
1401878405.304	0.000	n	ACS over pkt size
1401878405.800	0.000	n	ACS over pkt size
1401878406.299	0.000	n	ACS over pkt size
1401878406.795	0.000	n	ACS over pkt size
1401878407.294	0.000	n	ACS over pkt size
1401878407.792	0.000	n	ACS over pkt size
1401878408.289	0.000	n	ACS over pkt size
1401878408.786	0.000	n	ACS over pkt size
1401878409.283	0.000	n	ACS over pkt size
1401878409.782	0.000	n	ACS over pkt size
1401878410.280	0.000	n	ACS over pkt size
1401878410.778	0.000	n	ACS over pkt size
1401878411.277	0.000	n	ACS over pkt size
1401878411.775	0.000	n	ACS over pkt size
1401878412.272	0.000	n	ACS over pkt size
1401878412.770	0.000	n	ACS over pkt size
1401878413.269	0.000	n	ACS over pkt size
1401878413.767	0.000	n	ACS over pkt size
1401878414.264	0.000	n	ACS over pkt size
1401878414.762	0.000	n	ACS over pkt size
1401878415.262	0.000	n	ACS over pkt size
1401878415.761	0.000	n	ACS over pkt size
1401878416.260	0.000	n	ACS over pkt size
1401878416.756	0.000	n	ACS over pkt size
1401878417.255	0.000	n	ACS over pkt size
1401878417.753	0.000	n	ACS over pkt size
1401878418.252	0.000	n	ACS over pkt size
1401878418.750	0.000	n	ACS over pkt size
1401878419.250	0.000	n	ACS over pkt size
1401878419.748	0.000	n	ACS over pkt size
1401878420.246	0.000	n	ACS over pkt size
1401878420.744	0.000	n	ACS over pkt size
1401878421.242	0.000	n	ACS over pkt size
1401878421.740	0.000	n	ACS over pkt size
1401878422.239	0.000	n	ACS over pkt size
1401878422.738	0.000	n	ACS over pkt size
1401878423.235	0.000	n	ACS over pkt size
1401878423.735	0.000	n	ACS over pkt size
1401878424.234	0.000	n	ACS over pkt size
1401878424.732	0.000	n	ACS over pkt size
1401878425.230	0.000	n	ACS over pkt size
1401878425.730	0.000	n	ACS over pkt size
1401878426.228	0.000	n	ACS over pkt size
1401878426.729	0.000	n	ACS over pkt size
1401878427.225	0.000	n	ACS over pkt size
1401878427.725	0.000	n	ACS over pkt size
1401878428.225	0.000	n	ACS over pkt size
1401878428.722	0.000	n	ACS over pkt size
1401878429.220	0.000	n	ACS over pkt size
