Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.WC
Processed: 07/18/2014 17:47:40
Using Version: 1.11
Device: HMR
Start Date: 04/17/2014
Timestamp (s)	Depth (dbar)	Suspect Timestamp	Heading (deg)	Pitch (deg)	Roll (deg)
1397773522.545	0.564	y	153.6	-12.7	-1.0
1397773523.093	0.566	n	153.7	-11.8	-0.7    99.0
1397773523.105	0.563	n	152.9	-9.2	0.6
1397773523.126	0.563	n	150.8	-5.2	2.2
1397773523.137	0.563	n	148.1	-0.5	3.9
1397773523.148	0.560	n	145.7	4.2	5.1
1397773523.251	0.559	n	143.3	8.6	5.7
1397773523.359	0.546	n	140.9	12.2	5.6 88
1397773523.480	0.529	n	138.9	14.7	4.8
1397773523.604	0.518	n	136.9	16.5	3.6
1397773523.712	0.505	n	134.5	17.5	2.2
1397773523.832	0.486	n	131.6	17.9	0.5
1397773523.954	0.477	n	129.2	17.7	-1.4
1397773524.070	0.466	n	127.4	16.8	-3.8
1397773524.188	0.446	n	126.8	15.0	-6.5
1397773524.303	0.429	n	127.8	12.9	-9.4
1397773524.424	0.418	n	130.1	10.8	-12.0
1397773524.550	0.421	n	133.3	8.9	-14.0
1397773524.669	0.430	n	136.7	7.7	-15.1
1397773524.775	0.455	n	139.1	7.3	-15.1
1397773524.892	0.466	n	140.0	7.6	-13.9
1397773525.011	0.492	n	139.6	7.8	-11.4
1397773525.126	0.521	n	139.1	7.5	-8.2
1397773525.238	0.529	n	139.2	6.8	-5.2
1397773525.356	0.545	n	140.0	6.2	-3.0
1397773525.479	0.552	n	141.5	5.9	-1.8
1397773525.588	0.564	n	143.4	5.8	-1.3
1397773525.705	0.564	n	146.2	5.7	-1.5
1397773525.824	0.566	n	149.1	5.4	-1.7
1397773525.940	0.558	n	151.9	4.8	-1.6
1397773526.064	0.560	n	153.9	4.3	-1.4
1397773526.175	0.553	n	154.4	4.2	-0.8
1397773526.295	0.555	n	154.6	4.3	-0.2
1397773526.418	0.559	n	155.0	4.7	0.1
1397773526.527	0.572	n	154.8	5.1	0.8
1397773526.647	0.582	n	154.4	5.3	1.4
1397773526.762	0.589	n	154.1	5.4	1.9
1397773526.888	0.600	n	153.6	5.2	2.5
1397773527.002	0.607	n	152.7	4.8	3.2
1397773527.111	0.612	n	138.9	4.1	3.7
1397773527.219	0.611	n	129.6	3.4	4.0
1397773527.338	0.618	n	130.2	2.9	4.0
1397773527.454	0.615	n	131.2	1.9	3.4
1397773527.577	0.613	n	131.6	1.0	1.9
1397773527.697	0.604	n	133.3	0.9	-0.4
1397773527.816	0.597	n	135.8	1.3	-3.3
1397773527.969	0.582	y	136.5	2.9	-6.4
1397773528.047	0.573	n	136.4	5.7	-8.9
1397773528.171	0.559	n	135.5	9.1	-10.5
1397773528.297	0.562	n	134.3	12.8	-11.3
1397773528.404	0.569	n	133.1	16.5	-12.0
1397773528.527	0.583	n	132.0	20.1	-12.3
1397773528.647	0.610	n	131.1	23.1	-11.9
1397773528.767	0.621	n	130.6	24.4	-10.7
1397773528.884	0.649	n	130.5	23.6	-8.8
1397773529.002	0.667	n	131.9	20.0	-6.5
1397773529.127	0.673	n	133.9	15.4	-4.3
1397773529.241	0.666	n	135.2	10.9	-2.6
1397773529.362	0.656	n	135.5	7.0	-1.3
1397773529.485	0.642	n	135.3	4.8	0.1
1397773529.591	0.634	n	134.8	4.7	1.6
1397773529.704	0.637	n	133.7	6.4	3.5
1397773529.817	0.642	n	131.9	8.8	5.3
1397773529.939	0.656	n	130.2	10.3	6.3
1397773530.053	0.671	n	128.8	10.7	6.1
1397773530.173	0.671	n	127.6	9.7	4.7
1397773530.281	0.667	n	128.8	7.1	1.9
1397773530.398	0.650	n	131.9	3.4	-1.4
1397773530.515	0.646	n	134.9	-0.6	-4.6
1397773530.630	0.632	n	136.7	-3.8	-7.1
1397773530.752	0.628	n	138.3	-5.7	-8.7
1397773530.857	0.625	n	140.2	-6.1	-9.2
1397773530.982	0.628	n	141.0	-5.1	-8.5
1397773531.085	0.638	n	141.1	-3.1	-6.6
1397773531.204	0.641	n	140.8	-0.2	-4.3
1397773531.322	0.654	n	140.2	3.3	-1.6
1397773531.439	0.665	n	139.4	7.2	1.0
1397773531.554	0.678	n	138.8	10.9	3.3
1397773531.672	0.701	n	137.8	13.8	5.1
1397773531.792	0.718	n	136.8	15.8	6.4
1397773531.904	0.736	n	136.1	16.8	7.1
1397773532.021	0.745	n	134.9	16.4	7.2
1397773532.138	0.745	n	132.7	15.3	6.9
1397773532.254	0.744	n	131.0	14.0	5.8
1397773532.378	0.743	n	130.5	12.3	3.6
1397773532.491	0.742	n	129.9	11.2	0.7
1397773532.611	0.750	n	129.8	10.6	-2.6
1397773532.733	0.763	n	131.2	10.5	-6.0
1397773532.850	0.791	n	130.8	11.2	-9.3
1397773532.966	0.806	y	130.6	12.1	-11.9
1397773533.086	0.839	n	130.8	13.3	-13.3
1397773533.208	0.849	n	129.3	14.7	-13.6
1397773533.328	0.870	n	129.7	15.8	-12.9
1397773533.447	0.914	n	129.6	16.7	-11.3
1397773533.565	0.942	n	129.8	17.1	-9.2
1397773533.690	0.958	n	130.0	16.8	-6.9
1397773533.797	0.997	n	129.8	16.3	-4.5
1397773533.928	1.038	n	130.8	15.1	-2.5
1397773534.041	1.071	n	130.8	12.9	-0.9
1397773534.156	1.101	n	131.9	9.9	0.6
1397773534.273	1.118	n	133.4	6.2	1.9
1397773534.396	1.124	n	134.0	2.5	3.0
1397773534.515	1.129	n	135.3	-0.2	3.5
1397773534.630	1.146	n	136.0	-1.6	3.7
1397773534.752	1.162	n	135.6	-1.5	4.0
1397773534.880	1.183	n	136.2	-0.1	3.8
1397773534.985	1.196	n	136.4	1.8	3.1
1397773535.108	1.214	n	135.6	3.8	1.9
1397773535.218	1.236	n	136.3	5.6	0.3
1397773535.335	1.262	n	136.1	7.5	-1.1
1397773535.453	1.277	n	135.7	8.9	-2.8
1397773535.566	1.307	n	136.9	9.7	-4.6
1397773535.690	1.339	n	137.3	10.1	-6.2
1397773535.804	1.377	n	137.3	10.3	-7.3
1397773535.923	1.412	n	138.0	10.3	-7.9
1397773536.045	1.443	n	138.1	10.2	-7.9
1397773536.152	1.481	n	138.9	10.3	-7.5
1397773536.267	1.501	n	139.5	10.6	-6.7
1397773536.384	1.542	n	138.9	11.1	-5.5
1397773536.502	1.580	n	139.0	11.9	-3.9
1397773536.627	1.622	n	138.3	12.9	-2.4
1397773536.752	1.659	n	137.3	13.9	-0.8
1397773536.883	1.701	n	137.9	14.5	0.4
1397773536.985	1.730	n	137.9	14.5	1.2
1397773537.107	1.767	n	136.5	14.1	1.8
1397773537.235	1.794	n	135.7	13.1	1.9
1397773537.359	1.826	n	136.4	11.8	1.7
1397773537.466	1.852	n	136.4	10.5	1.2
1397773537.583	1.878	n	135.3	9.2	0.5
1397773537.699	1.893	n	135.6	8.1	-0.3
1397773537.817	1.920	n	136.0	7.2	-1.2
1397773537.940	1.949	n	135.3	6.6	-2.1
1397773538.093	1.972	y	135.7	6.4	-2.8
1397773538.165	2.001	n	135.6	6.7	-3.3
1397773538.278	2.029	n	134.5	7.2	-3.9
1397773538.392	2.044	n	135.0	7.8	-4.4
1397773538.505	2.068	n	135.3	8.5	-4.7
1397773538.628	2.093	n	134.0	9.3	-4.8
1397773538.735	2.119	n	133.9	10.0	-4.7
1397773538.859	2.148	n	134.4	10.6	-4.6
1397773538.969	2.176	n	133.8	11.0	-4.2
1397773539.086	2.206	n	132.8	11.1	-3.9
1397773539.203	2.215	n	132.4	10.9	-3.4
1397773539.324	2.237	n	132.7	10.4	-2.9
1397773539.441	2.261	n	133.3	9.6	-2.4
1397773539.565	2.278	n	133.7	8.7	-1.9
1397773539.690	2.298	n	133.9	7.9	-1.5
1397773539.798	2.319	n	134.4	6.9	-1.3
1397773539.924	2.333	n	134.7	6.1	-1.1
1397773540.028	2.351	n	134.7	5.5	-0.9
1397773540.147	2.365	n	134.7	4.9	-0.9
1397773540.265	2.373	n	134.7	4.5	-1.0
1397773540.380	2.389	n	134.6	4.3	-1.2
1397773540.503	2.398	n	134.4	4.1	-1.4
1397773540.616	2.411	n	134.1	4.0	-1.7
1397773540.737	2.425	n	134.1	4.0	-2.1
1397773540.863	2.440	n	134.1	4.1	-2.5
1397773540.983	2.454	n	134.2	4.1	-3.0
1397773541.083	2.469	n	134.4	4.2	-3.3
1397773541.196	2.477	n	134.5	4.4	-3.6
1397773541.315	2.481	n	135.0	4.5	-3.8
1397773541.423	2.499	n	136.3	4.7	-3.9
1397773541.546	2.514	n	137.3	5.1	-3.8
1397773541.652	2.532	n	136.9	5.7	-3.5
1397773541.764	2.538	n	135.9	6.3	-3.1
1397773541.884	2.555	n	136.3	7.0	-2.6
1397773542.002	2.577	n	136.9	7.9	-2.0
1397773542.116	2.591	n	136.0	8.9	-1.2
1397773542.233	2.617	n	135.2	9.8	-0.4
1397773542.355	2.633	n	135.5	10.6	0.3
1397773542.485	2.653	n	135.7	11.4	0.9
1397773542.595	2.673	n	134.6	11.9	1.3
1397773542.715	2.686	n	133.1	12.3	1.3
1397773542.835	2.705	n	132.2	12.5	1.0
1397773542.958	2.722	n	132.1	12.5	0.4
1397773543.078	2.729	y	132.2	12.4	-0.4
1397773543.199	2.749	n	132.0	12.1	-1.5
1397773543.320	2.767	n	131.2	11.8	-2.6
1397773543.439	2.788	n	130.3	11.3	-3.6
1397773543.553	2.810	n	129.8	10.8	-4.7
1397773543.677	2.833	n	130.0	10.2	-5.5
1397773543.795	2.863	n	131.2	9.6	-5.9
1397773543.897	2.891	n	132.2	9.0	-6.1
1397773544.010	2.900	n	131.6	8.3	-5.8
1397773544.126	2.932	n	131.6	7.6	-5.2
1397773544.240	2.964	n	132.7	7.1	-4.3
1397773544.359	2.994	n	132.5	6.6	-3.3
1397773544.469	3.018	n	133.0	6.2	-2.1
1397773544.588	3.043	n	133.5	5.6	-0.8
