Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.WC
Processed: 07/18/2014 17:47:39
Using Version: 1.11
Device: SBE
Start Date: 04/17/2014
Timestamp (s)	Suspect Timestamp	Pressure (dbar)	Velocity (m/s)
1397773523.009	y	0.573	0.042
1397773523.020	n	0.571	0.032
1397773523.031	n	0.571	0.029
1397773523.039	n	0.568	0.019
1397773523.048	n	0.567	0.015
1397773523.057	n	0.564	0.007
1397773523.065	n	0.564	0.007
1397773523.074	n	0.566	0.012
1397773523.117	n	0.563	0.002
1397773523.173	n	0.560	-0.005
1397773523.238	n	0.559	-0.007
1397773523.306	n	0.553	-0.021
1397773523.360	n	0.546	-0.035
1397773523.428	n	0.540	-0.044
1397773523.486	n	0.529	-0.064
1397773523.553	n	0.526	-0.064
1397773523.610	n	0.518	-0.075
1397773523.676	n	0.513	-0.077
1397773523.735	n	0.505	-0.086
1397773523.798	n	0.497	-0.092
1397773523.860	n	0.486	-0.105
1397773523.926	n	0.477	-0.111
1397773523.985	n	0.472	-0.109
1397773524.050	n	0.466	-0.108
1397773524.110	n	0.456	-0.117
1397773524.176	n	0.446	-0.123
1397773524.237	n	0.438	-0.125
1397773524.302	n	0.429	-0.129
1397773524.362	n	0.421	-0.131
1397773524.425	n	0.418	-0.122
1397773524.487	n	0.419	-0.104
1397773524.550	n	0.421	-0.087
1397773524.617	n	0.421	-0.075
1397773524.674	n	0.430	-0.047
1397773524.743	n	0.441	-0.017
1397773524.797	n	0.455	0.015
1397773524.864	n	0.466	0.036
1397773524.923	n	0.475	0.051
1397773524.985	n	0.492	0.081
1397773525.048	n	0.507	0.102
1397773525.115	n	0.521	0.119
1397773525.173	n	0.524	0.110
1397773525.238	n	0.529	0.106
1397773525.304	n	0.537	0.109
1397773525.361	n	0.545	0.112
1397773525.423	n	0.553	0.114
1397773525.485	n	0.552	0.097
1397773525.552	n	0.561	0.102
1397773525.611	n	0.564	0.096
1397773525.673	n	0.563	0.081
1397773525.735	n	0.564	0.073
1397773525.802	n	0.566	0.069
1397773525.861	n	0.561	0.050
1397773525.926	n	0.558	0.037
1397773525.986	n	0.560	0.037
1397773526.050	n	0.560	0.033
1397773526.111	n	0.557	0.023
1397773526.174	n	0.553	0.012
1397773526.244	n	0.556	0.016
1397773526.298	n	0.555	0.012
1397773526.366	n	0.558	0.016
1397773526.423	n	0.559	0.016
1397773526.485	n	0.563	0.023
1397773526.548	n	0.572	0.039
1397773526.615	n	0.576	0.043
1397773526.673	n	0.582	0.049
1397773526.737	n	0.589	0.057
1397773526.798	n	0.596	0.064
1397773526.866	n	0.600	0.063
1397773526.935	n	0.606	0.067
1397773526.986	n	0.607	0.061
1397773527.057	n	0.612	0.063
1397773527.110	n	0.612	0.055
1397773527.180	n	0.614	0.053
1397773527.236	n	0.611	0.041
1397773527.298	n	0.614	0.041
1397773527.361	n	0.618	0.043
1397773527.429	n	0.615	0.030
1397773527.486	n	0.617	0.031
1397773527.551	n	0.613	0.018
1397773527.610	n	0.609	0.008
1397773527.679	n	0.604	-0.004
1397773527.736	n	0.602	-0.008
1397773527.806	n	0.597	-0.018
1397773527.868	n	0.590	-0.030
1397773527.958	y	0.582	-0.042
1397773527.988	n	0.578	-0.044
1397773528.048	n	0.573	-0.049
1397773528.118	n	0.564	-0.060
1397773528.173	n	0.559	-0.063
1397773528.244	n	0.561	-0.050
1397773528.298	n	0.562	-0.042
1397773528.369	n	0.562	-0.036
1397773528.423	n	0.569	-0.018
1397773528.493	n	0.574	-0.006
1397773528.548	n	0.583	0.012
1397773528.612	n	0.595	0.034
1397773528.673	n	0.610	0.061
1397773528.739	n	0.621	0.074
1397773528.798	n	0.636	0.095
1397773528.874	n	0.649	0.108
1397773528.923	n	0.659	0.115
1397773528.990	n	0.667	0.117
1397773529.048	n	0.669	0.107
1397773529.115	n	0.673	0.101
1397773529.173	n	0.672	0.087
1397773529.240	n	0.666	0.064
1397773529.298	n	0.660	0.044
1397773529.362	n	0.656	0.030
1397773529.431	n	0.644	0.002
1397773529.485	n	0.642	-0.002
1397773529.554	n	0.637	-0.012
1397773529.611	n	0.634	-0.016
1397773529.678	n	0.637	-0.008
1397773529.736	n	0.638	-0.006
1397773529.802	n	0.642	0.002
1397773529.861	n	0.651	0.020
1397773529.927	n	0.656	0.028
1397773529.986	n	0.664	0.040
1397773530.052	n	0.671	0.048
1397773530.119	n	0.672	0.044
1397773530.174	n	0.671	0.036
1397773530.243	n	0.670	0.030
1397773530.298	n	0.667	0.020
1397773530.366	n	0.659	0.002
1397773530.423	n	0.650	-0.016
1397773530.493	n	0.646	-0.022
1397773530.548	n	0.641	-0.030
1397773530.616	n	0.632	-0.044
1397773530.673	n	0.627	-0.048
1397773530.742	n	0.628	-0.040
1397773530.798	n	0.623	-0.046
1397773530.872	n	0.625	-0.036
1397773530.929	n	0.627	-0.028
1397773530.986	n	0.628	-0.022
1397773531.049	n	0.633	-0.010
1397773531.111	n	0.638	0.002
1397773531.179	n	0.641	0.008
1397773531.236	n	0.645	0.014
1397773531.304	n	0.654	0.030
1397773531.360	n	0.660	0.038
1397773531.429	n	0.665	0.044
1397773531.486	n	0.672	0.052
1397773531.552	n	0.678	0.058
1397773531.611	n	0.690	0.074
1397773531.674	n	0.701	0.086
1397773531.743	n	0.707	0.088
1397773531.799	n	0.718	0.098
1397773531.861	n	0.724	0.098
1397773531.923	n	0.736	0.110
1397773531.989	n	0.744	0.112
1397773532.049	n	0.745	0.100
1397773532.113	n	0.745	0.088
1397773532.174	n	0.745	0.076
1397773532.238	n	0.744	0.064
1397773532.299	n	0.745	0.058
1397773532.362	n	0.743	0.046
1397773532.424	n	0.742	0.038
1397773532.488	n	0.742	0.034
1397773532.548	n	0.746	0.038
1397773532.611	n	0.750	0.042
1397773532.673	n	0.756	0.048
1397773532.736	n	0.763	0.056
1397773532.805	n	0.777	0.076
1397773532.867	n	0.791	0.094
1397773532.930	n	0.806	0.112
1397773533.011	y	0.824	0.134
1397773533.050	n	0.833	0.136
1397773533.111	n	0.839	0.130
1397773533.180	n	0.849	0.134
1397773533.236	n	0.859	0.138
1397773533.305	n	0.870	0.141
1397773533.361	n	0.888	0.160
1397773533.429	n	0.914	0.191
1397773533.486	n	0.932	0.204
1397773533.549	n	0.942	0.198
1397773533.611	n	0.949	0.188
1397773533.677	n	0.958	0.182
1397773533.736	n	0.976	0.196
1397773533.799	n	0.997	0.214
1397773533.867	n	1.017	0.227
1397773533.928	n	1.038	0.241
1397773533.993	n	1.056	0.247
1397773534.048	n	1.071	0.246
1397773534.118	n	1.086	0.245
