Profile 0

 mmho/cm   Celsius      dbars     hz
+00.9930  +23.6250  -0000.420      0
+00.9929  +23.6248  -0000.410      0
+00.9929  +23.6248  -0000.350      0
+00.9929  +23.6240  -0000.140      0
+00.9930  +23.6245  -0000.130      0
+00.9930  +23.6246  -0000.180      0
+00.9929  +23.6243  -0000.270      0
+00.9929  +23.6245  -0000.370      0
+00.9930  +23.6238  -0000.490      0
+00.9929  +23.6244  -0000.390      0
+00.9929  +23.6238  -0000.200      0
+00.9929  +23.6234  -0000.110      0
+00.9929  +23.6241  -0000.150      0
+00.9929  +23.6234  -0000.350      0
+00.9929  +23.6228  -0000.450      0
+00.9929  +23.6228  -0000.360      0
+00.9929  +23.6228  -0000.290      0
+00.9929  +23.6230  -0000.080      0
+00.9929  +23.6231  -0000.110      0
+00.9929  +23.6227  -0000.200      0
+00.9929  +23.6221  -0000.270      0
+00.9929  +23.6219  -0000.360      0
+00.9929  +23.6229  -0000.470      0
+00.9929  +23.6219  -0000.400      0
+00.9929  +23.6219  -0000.190      0
+00.9929  +23.6219  -0000.120      0
+00.9929  +23.6221  -0000.180      0
+00.9928  +23.6216  -0000.300      0
+00.9929  +23.6217  -0000.410      0
+00.9929  +23.6217  -0000.440      0
+00.9928  +23.6213  -0000.460      0
+00.9928  +23.6210  -0000.420      0
+00.9928  +23.6212  -0000.260      0
+00.9928  +23.6214  -0000.150      0
+00.9929  +23.6206  -0000.150      0
+00.9928  +23.6209  -0000.150      0
+00.9929  +23.6206  -0000.300      0
+00.9928  +23.6201  -0000.460      0
+00.9929  +23.6199  -0000.460      0
+00.9928  +23.6203  -0000.400      0
+00.9928  +23.6201  -0000.340      0
+00.9928  +23.6192  -0000.230      0
+00.9928  +23.6195  -0000.170      0
+00.9929  +23.6193  -0000.150      0
+00.9929  +23.6187  -0000.180      0
+00.9928  +23.6195  -0000.330      0
+00.9928  +23.6196  -0000.460      0
+00.9928  +23.6192  -0000.380      0
+00.9928  +23.6186  -0000.180      0
+00.9928  +23.6188  -0000.120      0
+00.9928  +23.6197  -0000.160      0
+00.9928  +23.6184  -0000.260      0
+00.9928  +23.6186  -0000.390      0
+00.9928  +23.6187  -0000.420      0
+00.9928  +23.6185  -0000.420      0
+00.9928  +23.6181  -0000.350      0
+00.9928  +23.6182  -0000.200      0
+00.9928  +23.6192  -0000.110      0
+00.9928  +23.6182  -0000.140      0
+00.9928  +23.6184  -0000.270      0
+00.9928  +23.6174  -0000.360      0
+00.9928  +23.6183  -0000.370      0
+00.9928  +23.6182  -0000.380      0
+00.9928  +23.6178  -0000.450      0
+00.9928  +23.6174  -0000.450      0
+00.9928  +23.6178  -0000.260      0
+00.9928  +23.6176  -0000.230      0
+00.9928  +23.6178  -0000.140      0
+00.9928  +23.6170  -0000.100      0
+00.9928  +23.6175  -0000.130      0
+00.9928  +23.6168  -0000.180      0
+00.9928  +23.6173  -0000.310      0
+00.9928  +23.6167  -0000.410      0
+00.9928  +23.6163  -0000.400      0
+00.9928  +23.6171  -0000.210      0
+00.9928  +23.6172  -0000.230      0
+00.9928  +23.6174  -0000.150      0
+00.9928  +23.6172  -0000.060      0
+00.9927  +23.6162  -0000.230      0
+00.9928  +23.6164  -0000.410      0
+00.9928  +23.6165  -0000.460      0
+00.9928  +23.6166  -0000.430      0
+00.9928  +23.6154  -0000.300      0
+00.9928  +23.6155  -0000.130      0
+00.9928  +23.6162  -0000.130      0
+00.9928  +23.6153  -0000.260      0
+00.9928  +23.6155  -0000.290      0
+00.9927  +23.6156  -0000.430      0
+00.9928  +23.6156  -0000.400      0
+00.9928  +23.6151  -0000.430      0
+00.9928  +23.6148  -0000.420      0
+00.9927  +23.6150  -0000.350      0
+00.9927  +23.6145  -0000.190      0
+00.9928  +23.6147  -0000.130      0
+00.9927  +23.6146  -0000.160      0
+00.9927  +23.6143  -0000.240      0
+00.9927  +23.6141  -0000.240      0
+00.9928  +23.6140  -0000.370      0
+00.9927  +23.6140  -0000.440      0
+00.9928  +23.6142  -0000.420      0
+00.9927  +23.6139  -0000.370      0
+00.9927  +23.6136  -0000.330      0
+00.9927  +23.6130  -0000.210      0
+00.9927  +23.6139  -0000.080      0
+00.9927  +23.6129  -0000.220      0
+00.9927  +23.6133  -0000.300      0
+00.9927  +23.6127  -0000.400      0
+00.9927  +23.6126  -0000.450      0
+00.9927  +23.6125  -0000.450      0
+00.9927  +23.6126  -0000.340      0
+00.9927  +23.6127  -0000.180      0
+00.9927  +23.6124  -0000.110      0
+00.9927  +23.6126  -0000.190      0
+00.9927  +23.6125  -0000.180      0
+00.9927  +23.6119  -0000.400      0
+00.9927  +23.6118  -0000.490      0
+00.9927  +23.6112  -0000.410      0
+00.9927  +23.6116  -0000.380      0
+00.9927  +23.6116  -0000.170      0
+00.9927  +23.6112  -0000.110      0
+00.9927  +23.6111  -0000.210      0
+00.9927  +23.6116  -0000.430      0
+00.9927  +23.6105  -0000.420      0
+00.9926  +23.6104  -0000.450      0
+00.9927  +23.6108  -0000.400      0
+00.9927  +23.6108  -0000.270      0
+00.9927  +23.6104  -0000.130      0
+00.9926  +23.6098  -0000.160      0
+00.9927  +23.6099  -0000.220      0
+00.9927  +23.6108  -0000.270      0
+00.9927  +23.6103  -0000.330      0
+00.9927  +23.6098  -0000.440      0
+00.9927  +23.6102  -0000.420      0
+00.9927  +23.6101  -0000.310      0
+00.9927  +23.6097  -0000.190      0
+00.9927  +23.6095  -0000.110      0
+00.9926  +23.6091  -0000.150      0
+00.9927  +23.6096  -0000.140      0
+00.9926  +23.6098  -0000.240      0
+00.9926  +23.6093  -0000.410      0
+00.9926  +23.6080  -0000.380      0
+00.9926  +23.6086  -0000.450      0
+00.9926  +23.6086  -0000.370      0
+00.9926  +23.6084  -0000.130      0
+00.9926  +23.6089  -0000.140      0
+00.9926  +23.6087  -0000.150      0
+00.9926  +23.6091  -0000.270      0
+00.9926  +23.6090  -0000.340      0
+00.9926  +23.6081  -0000.440      0
+00.9926  +23.6077  -0000.460      0
+00.9926  +23.6086  -0000.420      0
+00.9926  +23.6075  -0000.380      0
+00.9926  +23.6076  -0000.200      0
+00.9926  +23.6084  -0000.180      0
+00.9926  +23.6079  -0000.080      0
+00.9926  +23.6085  -0000.140      0
+00.9926  +23.6078  -0000.190      0
+00.9926  +23.6073  -0000.310      0
+00.9926  +23.6078  -0000.380      0
+00.9926  +23.6069  -0000.460      0
+00.9926  +23.6071  -0000.410      0
+00.9926  +23.6074  -0000.300      0
+00.9926  +23.6066  -0000.290      0
+00.9926  +23.6064  -0000.230      0
+00.9926  +23.6063  -0000.190      0
+00.9926  +23.6069  -0000.060      0
+00.9926  +23.6064  -0000.200      0
+00.9926  +23.6066  -0000.270      0
