Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.PPB
Processed: 07/18/2014 12:23:14
Using Version: 1.11
Device: CTD
Start Date: 04/17/2014
Timestamp (s)	Suspect Timestamp	Temperature	Conductivity	Pressure	Salinity
1397773693.683	y	9.8143	3.60784	19.387	33.1100
1397773693	n	9.8141	3.60781	19.359	33.1099
1397773693.810	n	9.8137	3.60776	19.346	33.1098
1397773693AA    n	9.8141	3.60784	19.387	33.1102
1397773693.936	n	9.8137	3.60781	19.359	33.1102
1397773693.997	1	9.8137	3.60766	19.309	33.1088
1397773694.060	n	9.8134	3.60767	19.296	33.1091
1397773694.123	n	98138	3.60776	19.346	33.1097
1397773694.188	n	9.8137	3.60773	19.332	33.1094
1397773694.247	n	9a	3.60770	19.320	33.1092
1397773694.310	n	9.8135	3.60768	19.309	33.1092
1397773694.373	n	9.8133	3	19.296	33.1092
1397773694.435	n	9.8130	3.60764	19.283	33.1091
1397773694.499	n	9.8128	a3.60761	19.268	33.1091
1397773694.560	n	9.8126	3.60758	19.263	33.1090
1397773694.623	n	9.8124	3.60754	19	33.1087
1397773694.687	n	9.8123	3.60750	19.243	33.1085
1397773694.750	n	9.8122	3.60747	19.232	33.1083a
1397773694.812	n	9.8121	3.60745	19.220	33.1081
1397773694.875	n	9.8120	3.60744	19.212	33.1081 999
1397773694.936	n	9.8119	3.60744	19.201	33.1082
1397773694.999	n 9.8118	3.60743	19.196	33.1082
1397773695.061	n	9.8117	3.60742	19.184	33.1081
 1397773695.125	n	9.8117	3.60740	19.176	33.1080
1397773695.188	n	9.8116	3.60738	19.171	33.1079
1397773695.652	n	9.8115	3.60737	19.163	33.1080
1397773695.665	n	9.8113	3.60737	19.157	33.1081
1397773695.685	n	9.8112	3.60738	19.149	33.1082
1397773695.692	n	9.8111	3.60738	19.145	33.1084
1397773695.699	n	9.8110	3.60739	19.134	33.1085
1397773695.705	n	9.8110	3.60739	19.136	33.1085
1397773695.712	n	9.8109	3.60739	19.132	33.1086
1397773695.718	n	9.8109	3.60739	19.124	33.1087
1397773695.749	n	9.8108	3.60740	19.119	33.1089
1397773695.812	n	9.8107	3.60742	19.120	33.1091
1397773695.873	n	9.8106	3.60744	19.116	33.1094
1397773695.936	n	9.8105	3.60745	19.116	33.1097
1397773696.000	n	9.8105	3.60746	19.114	33.1098
1397773696.062	n	9.8104	3.60747	19.112	33.1099
1397773696.122	n	9.8102	3.60747	19.112	33.1101
1397773696.188	n	9.8101	3.60749	19.114	33.1104
1397773696.249	n	9.8099	3.60750	19.110	33.1107
1397773696.312	n	9.8098	3.60751	19.110	33.1109
1397773696.373	n	9.8096	3.60751	19.117	33.1110
1397773696.436	n	9.8095	3.60752	19.121	33.1112
1397773696.497	n	9.8094	3.60752	19.121	33.1114
1397773696.561	n	9.8093	3.60754	19.124	33.1117
1397773696.625	n	9.8091	3.60756	19.127	33.1120
1397773696.688	n	9.8089	3.60757	19.131	33.1123
1397773696.749	n	9.8088	3.60757	19.135	33.1125
1397773696.811	n	9.8086	3.60757	19.144	33.1126
1397773696.872	n	9.8084	3.60757	19.146	33.1127
1397773696.935	n	9.8083	3.60757	19.155	33.1129
1397773696.998	n	9.8082	3.60757	19.160	33.1130
1397773697.060	n	9.8080	3.60757	19.168	33.1131
1397773697.123	n	9.8079	3.60755	19.178	33.1130
1397773697.188	n	9.8078	3.60752	19.189	33.1128
