Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.PPD
Processed: 07/18/2014 12:23:16
Using Version: 1.11
Device: CTD
Start Date: 04/17/2014
Timestamp (s)	Suspect Timestamp	Temperature	Conductivity	Pressure	Salinity
1397773693.683	y	9.8143	3.60784	19.387	33.1100
1397773694.687	n	9.8123	3.60750	19.243	33.1085
1397773695.718	n	9.8109	3.60739	19.124	33.1087
1397773696.688	n	9.8089	3.60757	19.131	33.1123
1397773697.688	n	9.8066	3.60723	19.274	33.1109
1397773698.685	n	9.8052	3.60635	19.485	33.1032
1397773699.688	n	9.8049	3.60634	19.706	33.1031
1397773700.688	n	9.8092	3.60656	19.866	33.1015
1397773701.685	n	9.8109	3.60675	19.919	33.1018
1397773702.687	n	9.8097	3.60654	19.870	33.1008
1397773703.686	n	9.8032	3.60626	19.689	33.1040
1397773704.686	n	9.7977	3.60513	19.448	33.0976
1397773705.687	n	9.7984	3.60468	19.192	33.0925
1397773706.686	n	9.7979	3.60439	19.045	33.0900
1397773707.686	n	9.7973	3.60385	19.008	33.0851
1397773708.685	n	9.7963	3.60316	19.071	33.0789
1397773709.685	n	9.7965	3.60238	19.157	33.0707
1397773710.686	n	9.7980	3.60145	19.238	33.0598
1397773711.686	n	9.8018	3.60067	19.270	33.0484
1397773712.685	n	9.8104	3.60024	19.238	33.0361
1397773713.687	n	9.8133	3.59975	19.127	33.0286
1397773714.686	n	9.8177	3.59920	18.963	33.0189
1397773715.686	n	9.8206	3.59843	18.728	33.0085
1397773716.687	n	9.8249	3.59791	18.452	32.9994
1397773717.686	n	9.8329	3.59757	18.156	32.9888
1397773718.685	n	9.8441	3.59747	17.929	32.9775
1397773719.687	n	9.8640	3.59743	17.794	32.9590
1397773720.687	n	9.8932	3.59753	17.753	32.9333
1397773721.686	n	9.9312	3.59766	17.773	32.9000
1397773722.687	n	9.9654	3.59766	17.811	32.8688
1397773723.687	n	9.9983	3.59748	17.818	32.8370
1397773724.686	n	10.0269	3.59736	17.795	32.8098
1397773725.686	n	10.0548	3.59741	17.711	32.7852
1397773726.688	n	10.0844	3.59764	17.571	32.7607
1397773727.686	n	10.1059	3.59793	17.370	32.7443
1397773728.687	n	10.1190	3.59828	17.125	32.7361
1397773729.686	n	10.1300	3.59881	16.871	32.7316
1397773730.688	n	10.1441	3.59936	16.640	32.7244
1397773731.687	n	10.1685	3.59980	16.466	32.7069
1397773732.687	n	10.1867	3.60018	16.364	32.6944
1397773733.687	n	10.2076	3.60060	16.326	32.6799
1397773734.687	n	10.2255	3.60109	16.335	32.6686
1397773735.686	n	10.2587	3.60169	16.358	32.6447
1397773736.686	n	10.3035	3.60231	16.361	32.6107
1397773737.687	n	10.3238	3.60292	16.324	32.5986
1397773738.688	n	10.3355	3.60368	16.212	32.5958
1397773739.686	n	10.3410	3.60440	16.040	32.5983
1397773740.687	n	10.3460	3.60511	15.823	32.6010
1397773741.685	n	10.3529	3.60569	15.595	32.6007
1397773742.686	n	10.3598	3.60611	15.398	32.5989
1397773743.688	n	10.3665	3.60665	15.254	32.5983
1397773744.687	n	10.3731	3.60692	15.173	32.5951
1397773745.686	n	10.3838	3.60719	15.137	32.5882
1397773746.687	n	10.3995	3.60753	15.119	32.5776
1397773747.687	n	10.4187	3.60785	15.108	32.5636
1397773748.687	n	10.4351	3.60821	15.076	32.5526
1397773749.687	n	10.4477	3.60864	15.013	32.5456
1397773750.687	n	10.4560	3.60929	14.929	32.5448
1397773751.686	n	10.4623	3.61002	14.820	32.5465
1397773752.689	n	10.4702	3.61041	14.710	32.5434
1397773753.688	n	10.4794	3.61121	14.563	32.5433
1397773754.688	n	10.5404	3.62231	14.399	32.5999
1397773755.686	n	10.5396	3.62261	14.230	32.6037
1397773756.686	n	10.5528	3.62367	14.059	32.6025
1397773757.686	n	10.5729	3.62438	13.928	32.5917
1397773758.687	n	10.5901	3.62510	13.852	32.5837
1397773759.686	n	10.6125	3.62556	13.825	32.5682
1397773760.685	n	10.6221	3.62568	13.854	32.5609
1397773761.687	n	10.6245	3.62595	13.900	32.5613
1397773762.687	n	10.6330	3.62611	13.929	32.5554
1397773763.687	n	10.6372	3.62630	13.902	32.5535
1397773764.687	n	10.6509	3.62679	13.790	32.5463
1397773765.686	n	10.6587	3.62688	13.590	32.5403
1397773766.687	n	10.6587	3.62689	13.328	32.5405
1397773767.686	n	10.6606	3.62691	13.065	32.5391
1397773768.700	y	10.6793	3.62734	12.874	32.5268
1397773769.687	n	10.6870	3.62746	12.799	32.5212
1397773770.687	n	10.6872	3.62752	12.836	32.5215
1397773771.687	n	10.6725	3.62707	12.901	32.5301
1397773772.686	n	10.6709	3.62700	12.967	32.5309
1397773773.687	n	10.6879	3.62748	13.000	32.5205
1397773774.687	n	10.6826	3.62719	12.948	32.5223
1397773775.686	n	10.6944	3.62759	12.827	32.5159
1397773776.687	n	10.6958	3.62780	12.670	32.5168
1397773777.687	n	10.6996	3.62763	12.471	32.5118
1397773778.686	n	10.7089	3.62806	12.274	32.5078
1397773779.688	n	10.7167	3.62825	12.079	32.5030
1397773780.687	n	10.7104	3.62818	11.952	32.5078
1397773781.690	n	10.7191	3.62848	11.861	32.5032
1397773782.690	n	10.7231	3.62861	11.838	32.5009
1397773783.689	n	10.7304	3.62889	11.868	32.4973
1397773784.693	n	10.7353	3.62906	11.894	32.4945
1397773785.687	n	10.7339	3.62901	11.914	32.4953
1397773786.688	n	10.7810	3.63074	11.859	32.4707
1397773787.691	n	10.7806	3.63098	11.797	32.4735
1397773788.692	n	10.7417	3.62930	11.674	32.4913
1397773789.692	n	10.7450	3.62940	11.498	32.4894
1397773790.687	y	10.7539	3.63012	11.284	32.4888
1397773791.742	n	10.8020	3.63171	11.079	32.4620
1397773792.686	n	10.7859	3.63087	10.938	32.4680
1397773793.688	n	10.7823	3.63066	10.854	32.4692
1397773794.688	n	10.7850	3.63078	10.795	32.4680
1397773795.686	n	10.7854	3.63082	10.774	32.4681
1397773796.688	n	10.7929	3.63099	10.761	32.4631
1397773797.687	n	10.7990	3.63139	10.730	32.4616
1397773798.687	n	10.8016	3.63139	10.696	32.4593
1397773799.686	n	10.7943	3.63115	10.636	32.4635
1397773800.686	n	10.7735	3.63037	10.545	32.4742
1397773801.686	n	10.7859	3.63078	10.408	32.4673
1397773802.688	n	10.7902	3.63085	10.272	32.4643
1397773803.686	n	10.7870	3.63085	10.149	32.4672
1397773804.688	n	10.7920	3.63105	10.046	32.4648
1397773805.687	n	10.7958	3.63117	9.975	32.4626
1397773806.687	n	10.7984	3.63129	9.918	32.4615
1397773807.687	n	10.8058	3.63142	9.864	32.4563
1397773808.687	n	10.7976	3.63110	9.793	32.4604
1397773809.688	n	10.8198	3.63207	9.728	32.4504
1397773810.688	n	10.8150	3.63167	9.631	32.4507
1397773811.686	n	10.8159	3.63201	9.536	32.4533
1397773812.686	n	10.8313	3.63249	9.457	32.4445
1397773813.687	n	10.8619	3.63386	9.376	32.4310
1397773814.688	n	10.8851	3.63457	9.322	32.4175
1397773815.689	n	10.8809	3.63431	9.258	32.4187
1397773816.686	n	10.8667	3.63371	9.217	32.4254
1397773817.687	n	10.8609	3.63352	9.166	32.4286
1397773818.688	n	10.8727	3.63407	9.118	32.4237
1397773819.688	n	10.8653	3.63384	9.061	32.4279
1397773820.688	n	10.8995	3.63499	9.004	32.4092
1397773821.687	n	10.8918	3.63497	8.920	32.4158
1397773822.687	n	10.9019	3.63505	8.799	32.4077
1397773823.688	n	10.9029	3.63528	8.670	32.4091
1397773824.688	n	10.9070	3.63523	8.569	32.4050
1397773825.687	n	10.9122	3.63541	8.493	32.4022
1397773826.689	n	10.9110	3.63527	8.437	32.4020
1397773827.687	n	10.8715	3.63377	8.381	32.4221
1397773828.686	n	10.8658	3.63364	8.338	32.4258
1397773829.686	n	10.8905	3.63469	8.315	32.4145
1397773830.688	n	10.9065	3.63525	8.308	32.4058
1397773831.688	n	10.9046	3.63517	8.279	32.4067
1397773832.688	n	10.8583	3.63338	8.141	32.4299
1397773833.687	n	10.8773	3.63448	7.904	32.4242
1397773834.688	n	10.8716	3.63384	7.709	32.4229
1397773835.688	n	10.8975	3.63505	7.583	32.4121
1397773836.688	n	10.8662	3.63360	7.528	32.4254
1397773837.687	n	10.8710	3.63381	7.502	32.4233
1397773838.688	n	10.8746	3.63415	7.487	32.4235
1397773839.688	n	10.8763	3.63410	7.469	32.4214
1397773840.686	n	10.8854	3.63455	7.420	32.4178
1397773841.687	n	10.8666	3.63362	7.316	32.4253
1397773842.688	n	10.8650	3.63331	7.165	32.4237
1397773843.688	n	10.8886	3.63450	6.983	32.4147
1397773844.687	n	10.8875	3.63446	6.815	32.4154
1397773845.687	n	10.8864	3.63430	6.706	32.4148
1397773846.688	n	10.8782	3.63402	6.637	32.4193
1397773847.687	n	10.8750	3.63390	6.600	32.4210
1397773848.687	n	10.8786	3.63405	6.575	32.4193
1397773849.688	n	10.9017	3.63511	6.533	32.4094
1397773850.689	n	10.9025	3.63504	6.453	32.4081
1397773851.687	n	10.9061	3.63506	6.313	32.4051
1397773852.688	n	10.9005	3.63493	6.160	32.4088
1397773853.689	n	10.8950	3.63470	6.045	32.4115
1397773854.687	n	10.8981	3.63476	5.993	32.4093
1397773855.686	n	10.8987	3.63482	5.959	32.4094
1397773856.687	n	10.9026	3.63498	5.961	32.4076
1397773857.688	n	10.9014	3.63492	5.972	32.4081
1397773858.686	n	10.9001	3.63482	5.978	32.4082
1397773859.688	n	10.9003	3.63486	5.916	32.4084
1397773860.688	n	10.9001	3.63482	5.748	32.4083
1397773861.687	n	10.9023	3.63491	5.548	32.4072
1397773862.687	n	10.8971	3.63471	5.345	32.4100
1397773863.688	n	10.8884	3.63441	5.181	32.4148
1397773864.689	n	10.8957	3.63468	5.073	32.4111
1397773865.687	n	10.9037	3.63499	5.008	32.4071
1397773866.688	n	10.9115	3.63522	4.975	32.4025
1397773867.690	n	10.9036	3.63502	4.996	32.4075
1397773868.688	n	10.9061	3.63495	5.008	32.4046
1397773869.689	n	10.9050	3.63507	4.944	32.4068
1397773870.688	n	10.9090	3.63517	4.832	32.4043
1397773871.689	n	10.9093	3.63516	4.687	32.4040
1397773872.688	n	10.9066	3.63508	4.543	32.4056
1397773873.689	n	10.9100	3.63514	4.357	32.4033
1397773874.687	n	10.9060	3.63500	4.202	32.4055
1397773875.688	n	10.9052	3.63498	4.063	32.4060
1397773876.688	n	10.9055	3.63498	4.004	32.4059
1397773877.689	n	10.9072	3.63497	3.965	32.4043
1397773878.688	n	10.9079	3.63495	3.927	32.4035
1397773879.688	n	10.9111	3.63506	3.915	32.4017
1397773880.688	n	10.9096	3.63500	3.890	32.4025
1397773881.688	n	10.9078	3.63498	3.850	32.4039
1397773882.688	n	10.9077	3.63498	3.798	32.4039
1397773883.688	n	10.9090	3.63502	3.711	32.4033
1397773884.688	n	10.9093	3.63513	3.599	32.4041
1397773885.688	n	10.9089	3.63504	3.477	32.4036
1397773886.689	n	10.9138	3.63494	3.381	32.3984
1397773887.688	n	10.9133	3.63485	3.242	32.3981
1397773888.687	n	10.9135	3.63493	3.077	32.3986
1397773889.687	n	10.9136	3.63496	2.994	32.3989
1397773890.689	n	10.9128	3.63499	2.946	32.3999
1397773891.688	n	10.9092	3.63498	2.991	32.4030
1397773892.688	n	10.9097	3.63493	3.054	32.4020
1397773893.689	n	10.9126	3.63504	3.039	32.4006
1397773894.688	n	10.9128	3.63500	2.947	32.4000
1397773895.687	n	10.9124	3.63500	2.842	32.4004
1397773896.687	n	10.9130	3.63499	2.729	32.3998
1397773897.743	n	10.9129	3.63499	2.567	32.4000
1397773898.689	n	10.9127	3.63490	2.383	32.3994
1397773899.688	n	10.9131	3.60973	2.225	32.1498
1397773900.689	n	10.9118	3.63489	2.091	32.4001
1397773901.688	n	10.9118	3.63487	1.990	32.4000
1397773902.687	n	10.9100	3.63473	1.912	32.4003
1397773903.689	n	10.9106	3.63480	1.817	32.4004
1397773904.688	n	10.9109	3.63479	1.828	32.4001
1397773905.688	n	10.9114	3.63486	1.831	32.4003
1397773906.688	n	10.9118	3.63488	1.855	32.4002
1397773907.688	n	10.9090	3.63475	1.866	32.4014
1397773908.688	n	10.9089	3.63474	1.825	32.4014
