Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11319982.PPB
Processed: 07/18/2014 12:28:13
Using Version: 1.11
Device: CTD
Start Date: 05/11/2014
Timestamp (s)	Suspect Timestamp	Temperature	Conductivity	Pressure	Salinity
1399852636.713	y	11.7079	3.67258	21.106	32.0665
1399852636.778	n	11.7077	3.67260	21.111	32.0667
1399852636.839	n	11.7076	3.67256	21.110	32.0664
1399852636.903	n	11.7077	3.67258	21.106	32.0666
1399852636.964	n	11.7076	3.67260	21.111	32.0668
1399852637.028	n	11.7074	3.67256	21.120	32.0666
1399852637.091	n	11.7074	3.67256	21.121	32.0666
1399852637.155	n	11.7075	3.67258	21.110	32.0667
1399852637.216	n	11.7075	3.67257	21.113	32.0667
1399852637.281	n	11.7075	3.67257	21.119	32.0667
1399852637.341	n	11.7075	3.67257	21.120	32.0666
1399852637.404	n	11.7075	3.67256	21.121	32.0665
1399852637.466	n	11.7075	3.67255	21.126	32.0665
1399852637.531	n	11.7075	3.67255	21.127	32.0664
1399852637.594	n	11.7075	3.67254	21.128	32.0663
1399852637.654	n	11.7075	3.67254	21.128	32.0663
1399852637.717	n	11.7075	3.67254	21.134	32.0663
1399852637.779	n	11.7075	3.67254	21.134	32.0663
1399852637.842	n	11.7075	3.67254	21.133	32.0664
1399852637.902	n	11.7074	3.67254	21.137	32.0664
1399852637.966	n	11.7075	3.67254	21.140	32.0663
1399852638.028	n	11.7075	3.67254	21.141	32.0664
1399852638.091	n	11.7075	3.67254	21.140	32.0663
1399852638.154	n	11.7075	3.67254	21.142	32.0663
1399852638.215	n	11.7075	3.67254	21.141	32.0663
1399852639.838	n	11.7075	3.67254	21.142	32.0663
1399852639.868	n	11.7075	3.67253	21.144	32.0662
1399852639.889	n	11.7075	3.67253	21.142	32.0662
1399852639.910	n	11.7075	3.67252	21.141	32.0662
1399852639.917	n	11.7075	3.67252	21.141	32.0661
1399852639.923	n	11.7075	3.67251	21.140	32.0661
1399852639.930	n	11.7075	3.67251	21.140	32.0660
1399852639.937	n	11.7075	3.67251	21.136	32.0661
1399852639.944	n	11.7075	3.67252	21.138	32.0662
1399852639.951	n	11.7074	3.67254	21.137	32.0664
1399852639.957	n	11.7074	3.67254	21.138	32.0664
1399852639.963	n	11.7074	3.67254	21.134	32.0664
1399852639.970	n	11.7075	3.67254	21.131	32.0664
1399852639.975	n	11.7075	3.67254	21.131	32.0663
1399852639.981	n	11.7076	3.67254	21.128	32.0663
1399852639.989	n	11.7076	3.67253	21.130	32.0662
1399852639.996	n	11.7076	3.67251	21.130	32.0660
1399852640.003	n	11.7076	3.67250	21.124	32.0659
1399852640.011	n	11.7076	3.67249	21.124	32.0658
1399852640.018	n	11.7076	3.67249	21.123	32.0658
1399852640.028	n	11.7076	3.67250	21.119	32.0659
1399852640.037	n	11.7076	3.67251	21.117	32.0659
1399852640.044	n	11.7077	3.67251	21.111	32.0659
1399852640.052	n	11.7077	3.67251	21.113	32.0659
1399852640.061	n	11.7076	3.67251	21.113	32.0659
1399852640.069	n	11.7076	3.67251	21.112	32.0660
1399852640.077	n	11.7076	3.67251	21.108	32.0659
1399852640.084	n	11.7077	3.67250	21.105	32.0658
1399852640.092	n	11.7077	3.67249	21.101	32.0657
1399852640.099	n	11.7077	3.67247	21.101	32.0656
1399852640.155	n	11.7076	3.67247	21.094	32.0656
1399852640.216	n	11.7076	3.67247	21.095	32.0657
1399852640.278	n	11.7075	3.67248	21.093	32.0657
1399852640.341	n	11.7075	3.67249	21.086	32.0659
1399852640.412	n	11.7076	3.67251	21.088	32.0660
1399852640.465	n	11.7076	3.67252	21.089	32.0660
1399852640.528	n	11.7076	3.67252	21.086	32.0660
1399852640.591	n	11.7077	3.67251	21.085	32.0659
1399852640.653	n	11.7076	3.67250	21.081	32.0659
1399852640.715	n	11.7076	3.67250	21.079	32.0659
1399852640.780	n	11.7076	3.67250	21.077	32.0659
1399852640.844	n	11.7076	3.67249	21.075	32.0658
1399852640.904	n	11.7077	3.67248	21.072	32.0657
1399852640.966	n	11.7077	3.67248	21.070	32.0656
1399852641.029	n	11.7077	3.67247	21.068	32.0655
1399852641.094	n	11.7077	3.67246	21.067	32.0654
1399852641.153	n	11.7077	3.67245	21.065	32.0653
1399852641.216	n	11.7077	3.67244	21.063	32.0652
1399852641.279	n	11.7077	3.67244	21.062	32.0652
1399852641.344	n	11.7077	3.67245	21.064	32.0653
1399852641.403	n	11.7077	3.67246	21.062	32.0654
1399852641.466	n	11.7078	3.67247	21.057	32.0655
1399852641.527	n	11.7078	3.67248	21.060	32.0655
1399852641.595	n	11.7078	3.67247	21.058	32.0655
1399852641.652	n	11.7077	3.67247	21.056	32.0655
1399852641.715	n	11.7077	3.67247	21.057	32.0655
1399852641.779	n	11.7077	3.67246	21.054	32.0655
1399852641.840	n	11.7077	3.67245	21.052	32.0654
1399852641.904	n	11.7077	3.67245	21.054	32.0653
1399852641.966	n	11.7077	3.67244	21.054	32.0653
1399852642.029	n	11.7078	3.67244	21.055	32.0652
1399852642.093	n	11.7078	3.67245	21.054	32.0653
1399852642.153	n	11.7078	3.67246	21.054	32.0654
1399852642.215	n	11.7078	3.67247	21.056	32.0655
1399852642.279	n	11.7078	3.67247	21.051	32.0654
1399852642.344	n	11.7078	3.67246	21.051	32.0654
1399852642.425	y	11.7078	3.67246	21.051	32.0653
1399852642.466	n	11.7078	3.67246	21.052	32.0653
1399852642.532	n	11.7078	3.67246	21.052	32.0653
1399852642.590	n	11.7079	3.67246	21.051	32.0653
1399852642.655	n	11.7079	3.67246	21.053	32.0653
1399852642.715	n	11.7079	3.67247	21.052	32.0653
1399852642.781	n	11.7079	3.67247	21.048	32.0653
1399852642.843	n	11.7079	3.67245	21.052	32.0651
1399852642.904	n	11.7079	3.67244	21.051	32.0650
1399852642.967	n	11.7079	3.67243	21.052	32.0649
1399852643.028	n	11.7079	3.67242	21.052	32.0649
1399852643.091	n	11.7079	3.67242	21.051	32.0648
1399852643.154	n	11.7079	3.67241	21.051	32.0648
1399852643.217	n	11.7079	3.67241	21.053	32.0647
1399852643.281	n	11.7079	3.67241	21.052	32.0648
1399852643.342	y	11.7079	3.67242	21.054	32.0649
1399852643.513	n	11.7079	3.67243	21.054	32.0650
1399852643.521	n	11.7079	3.67243	21.054	32.0650
1399852643.531	n	11.7078	3.67243	21.052	32.0650
1399852643.595	n	11.7078	3.67243	21.053	32.0650
1399852643.654	n	11.7078	3.67243	21.056	32.0650
1399852643.716	n	11.7078	3.67244	21.054	32.0651
1399852643.779	n	11.7078	3.67244	21.059	32.0651
1399852643.841	n	11.7079	3.67243	21.060	32.0650
1399852643.903	n	11.7080	3.67242	21.060	32.0649
1399852643.966	n	11.7080	3.67242	21.056	32.0647
1399852644.030	n	11.7080	3.67242	21.060	32.0648
1399852644.091	n	11.7080	3.67242	21.061	32.0648
1399852644.153	n	11.7079	3.67242	21.064	32.0648
1399852644.216	n	11.7079	3.67242	21.065	32.0648
1399852644.280	n	11.7079	3.67240	21.062	32.0647
1399852644.341	n	11.7079	3.67240	21.060	32.0647
1399852644.404	n	11.7079	3.67240	21.061	32.0646
1399852644.467	n	11.7080	3.67240	21.064	32.0646
1399852644.533	n	11.7080	3.67239	21.067	32.0645
1399852644.590	n	11.7080	3.67238	21.067	32.0644
1399852644.654	n	11.7079	3.67237	21.065	32.0644
1399852644.716	n	11.7079	3.67238	21.066	32.0645
1399852644.778	n	11.7079	3.67238	21.068	32.0645
1399852644.843	n	11.7079	3.67239	21.066	32.0646
1399852644.905	n	11.7079	3.67240	21.066	32.0646
1399852644.967	n	11.7079	3.67241	21.070	32.0647
1399852645.032	n	11.7080	3.67242	21.069	32.0648
1399852645.090	n	11.7080	3.67241	21.068	32.0647
1399852645.153	n	11.7079	3.67239	21.068	32.0645
1399852645.217	n	11.7079	3.67238	21.070	32.0644
1399852645.279	n	11.7079	3.67237	21.070	32.0643
1399852645.341	n	11.7079	3.67237	21.068	32.0643
1399852645.403	n	11.7079	3.67238	21.071	32.0644
1399852645.466	n	11.7080	3.67238	21.071	32.0645
1399852645.528	n	11.7080	3.67239	21.071	32.0645
1399852645.590	n	11.7080	3.67238	21.070	32.0644
