Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.PPD
Processed: 07/18/2014 12:23:16
Using Version: 1.11
Device: OCR
Start Date: 04/17/2014
Timestamp (s)	Depth (dbar)	Suspect Timestamp	header	serial #	on secs	Sample delay	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Vin counts	Va counts	Int. Temp	Frame Counter	Checksum
1397773692.131	19.387	y	\0D\0A\0D\0A\0D\0ASatlantic O
1397773705.603	19.192	n	SATDI7	0237	0000013.51	-133	2147963456	2147659392	2148573632	2148452544	2150082880	2147344256	2147463360	279	176	128	69	70
1397773715.885	18.728	n	SATDI7	0237	0000023.79	-133	2147965824	2147665920	2148562176	2148448576	2150130240	2147352512	2147461824	276	175	128	144	A2
1397773726.157	17.711	n	SATDI7	0237	0000034.07	-133	2147983744	2147677312	2148627840	2148582848	2150414976	2147356480	2147467072	282	176	128	219	94
1397773736.439	16.361	n	SATDI7	0237	0000044.34	-133	2148040512	2147735040	2148831680	2148873984	2150955008	2147383680	2147465152	285	176	129	38	44
1397773746.710	15.119	n	SATDI7	0237	0000054.62	-133	2148126848	2147828992	2149175296	2149392896	2151882560	2147428352	2147466240	273	176	129	113	9E
1397773756.987	14.059	n	SATDI7	0237	0000064.90	-133	2148310848	2148015168	2149768384	2150244480	2153250944	2147542272	2147471424	276	176	129	188	F9
1397773767.403	13.065	y	SATDI7	0237	0000075.17	-133	2148554688	2148244544	2150418368	2151115456	2154544768	2147683584	2147495488	284	176	130	7	FD
1397773777.402	12.471	n	SATDI7	0237	0000085.31	-133	2148562048	2148257280	2150416704	2151125504	2154564160	2147695360	2147492096	277	176	130	81	1E
1397773787.676	11.797	n	SATDI7	0237	0000095.59	-133	2148670144	2148368000	2150707648	2151513024	2155200064	2147759104	2147504832	282	175	130	156	5E
1397773797.988	10.730	n	SATDI7	0237	0000105.90	-133	2149227264	2148928576	2152007488	2153184064	2157463168	2148129664	2147558656	275	176	130	231	58
1397773808.314	9.793	n	SATDI7	0237	0000116.22	-133	2150013184	2149731200	2153819584	2155419008	2160498560	2148664640	2147640000	278	176	131	50	49
1397773818.494	9.118	n	SATDI7	0237	0000126.40	-133	2150908800	2150623808	2155825600	2157945792	2164010368	2149290176	2147745728	277	176	131	124	2E
1397773828.809	8.338	n	SATDI7	0237	0000136.72	-133	2152115840	2151866560	2158112896	2160527616	2167115584	2150147008	2147930048	272	176	131	199	FF
1397773839.127	7.487	n	SATDI7	0237	0000147.04	-133	2153473920	2153256768	2160672128	2163443200	2170657600	2151118912	2148145088	282	176	131	18	43
1397773849.443	6.533	n	SATDI7	0237	0000157.35	-133	2156748352	2156615808	2166153664	2169400192	2177478848	2153636672	2148848512	279	176	131	93	4C
1397773859.760	5.916	n	SATDI7	0237	0000167.67	-133	2160107712	2160066496	2171083904	2174411264	2182720960	2156332416	2149802368	285	176	131	168	E4
1397773870.076	4.944	n	SATDI7	0237	0000177.99	-133	2166244288	2166350336	2179038912	2182074560	2190159936	2161403264	2152096960	279	176	132	243	4B
1397773880.394	3.890	n	SATDI7	0237	0000188.30	-133	2173919040	2174317504	2188834432	2191641600	2199798336	2167896512	2155480832	284	176	132	62	1B
1397773890.708	2.946	n	SATDI7	0237	0000198.62	-133	2188119872	2188959488	2205493632	2207301248	2214836736	2180399488	2163415360	270	175	132	137	FE
1397773901.042	2.091	n	SATDI7	0237	0000208.95	-133	2208919936	2210621376	2228779520	2228838336	2235214848	2199006848	2177452544	270	175	132	212	E4
1397773911.222	0.967	n	SATDI7	0237	0000219.13	-133	2239727872	2242691008	2255352384	2250328960	2251195136	2228963968	2212324928	270	175	132	30	86
