Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.PPB
Processed: 07/18/2014 12:23:14
Using Version: 1.11
Device: ADCP
Start Date: 04/17/2014
Timestamp (s)	Depth (dbar)	Suspect Timestamp	sound speed	heading	pitch	roll	pressure	head temp	B1 vel (m/s)	B2 vel (m/s)	B3 vel (m/s)	B1 amp	B2 amp	B3 amp
1397773685.111	19.387	y	1492.4	102.0	-0.6	-2.3	18.473	10.73	-0.079	0.109	-0.099	102	104	101
1397773686.111	19.387	n	1492.4	101.2	0.0	-2.5	18.599	10.73	-0.108	0.171	-0.05	101	103	100
1397773687.111	19.387	n	1492.3	102.1	0.0	-2.8	18.799	10.72	-0.107	0.163	0.046	101	101	98
1397773688.111	19.387	y	1492.3	103.4	0.0	-3.1	18.999	10.72	-0.089	0.198	0.059	103	100	96
1397773689.111	19.387	n	1492.3	104.7	-0.3	-3.3	19.196	10.72	-0.158	0.154	0.043	104	102	111
1397773690.111	19.387	n	1492.3	105.1	-1.0	-3.5	19.283	10.72	-0.094	0.181	0.073	101	102	98
1397773691.111	19.387	n	1492.3	105.5	-1.5	-3.6	19.292	10.71	-0.003	0.105	0.084	101	104	105
1397773692.111	19.387	y	1492.3	104.8	-1.9	-3.3	19.185	10.71	-0.039	0.175	0.064	104	104	102
1397773693.111	19.387	n	1492.3	103.5	-2.0	-3.2	19.026	10.71	0.046	0.135	0.02	106	101	101
1397773694.112	19.346	n	1492.3	102.5	-1.6	-3.0	18.807	10.7	-0.001	0.12	-0.046	107	106	103
1397773695.112	19.176	n	1492.3	101.7	-1.2	-2.5	18.586	10.7	-0.013	0.157	-0.111	104	103	103
1397773696.111	19.112	n	1492.3	101.5	-1.0	-2.1	18.476	10.7	-0.058	0.041	-0.132	103	101	101
1397773697.112	19.178	n	1492.2	101.6	-0.4	-2.3	18.463	10.69	-0.109	0.094	-0.089	96	102	104
1397773698.113	19.365	n	1492.2	101.7	0.2	-2.7	18.592	10.69	-0.161	0.119	-0.057	99	103	97
1397773699.112	19.583	n	1492.2	103.4	0.3	-3.1	18.808	10.69	-0.143	0.169	0.01	101	103	98
1397773700.112	19.787	y	1492.2	105.6	0.4	-3.5	19.022	10.68	-0.092	0.163	0.068	107	101	99
1397773701.111	19.899	n	1492.2	107.6	-0.2	-3.7	19.199	10.68	-0.154	0.161	0.092	102	102	103
