Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.PPD
Processed: 07/18/2014 12:23:16
Using Version: 1.11
Device: ADCP
Start Date: 04/17/2014
Timestamp (s)	Depth (dbar)	Suspect Timestamp	sound speed	heading	pitch	roll	pressure	head temp	B1 vel (m/s)	B2 vel (m/s)	B3 vel (m/s)	B1 amp	B2 amp	B3 amp
1397773685.111	19.387	y	1492.4	102.0	-0.6	-2.3	18.473	10.73	-0.079	0.109	-0.099	102	104	101
1397773695.112	19.243	n	1492.3	101.7	-1.2	-2.5	18.586	10.7	-0.013	0.157	-0.111	104	103	103
1397773705.112	19.448	n	1492.1	106.6	-1.4	-2.4	18.805	10.67	-0.074	0.138	-0.067	103	100	100
1397773715.112	18.963	n	1492.0	109.1	-1.3	-3.3	18.334	10.64	-0.065	0.144	-0.101	103	104	98
1397773725.111	17.795	y	1491.9	124.2	-0.4	-2.3	17.154	10.61	-0.053	0.131	-0.052	100	104	103
1397773735.113	16.335	n	1491.9	138.1	0.6	-2.0	15.693	10.58	-0.126	0.175	-0.041	107	107	106
1397773745.111	15.173	n	1491.8	144.2	0.4	-1.5	14.545	10.57	-0.096	0.215	-0.085	112	112	109
1397773755.113	14.399	y	1491.8	145.1	0.0	-2.0	13.789	10.56	-0.087	0.1	-0.118	112	112	112
1397773765.116	13.790	y	1491.8	145.6	0.2	-2.2	13.204	10.57	-0.025	0.127	-0.081	113	118	115
1397773775.113	12.948	n	1491.8	134.5	0.4	-1.6	12.354	10.57	-0.143	0.082	-0.007	122	114	122
1397773785.112	11.894	y	1491.9	135.9	1.8	-1.8	11.292	10.58	-0.116	0.254	-0.025	120	122	119
1397773795.112	10.795	y	1491.9	134.9	0.9	-1.1	10.205	10.6	-0.114	0.153	-0.066	121	121	119
1397773805.112	10.046	n	1491.9	128.1	0.8	-1.9	9.455	10.62	-0.096	0.199	-0.111	124	121	123
1397773815.113	9.322	n	1492.0	125.9	0.2	-2.2	8.74	10.63	-0.073	0.177	-0.129	119	125	121
1397773825.112	8.569	n	1492.1	117.8	0.3	-3.0	8.004	10.65	-0.07	0.184	-0.075	123	121	123
1397773835.114	7.709	y	1492.2	124.4	0.6	-2.5	7.136	10.68	-0.132	0.122	-0.152	122	123	122
1397773845.113	6.815	n	1492.3	135.5	0.0	-2.5	6.262	10.7	-0.1	0.181	-0.111	125	123	122
1397773855.114	5.993	n	1492.3	145.7	2.5	-2.8	5.437	10.72	-0.104	0.362	-0.04	122	126	125
1397773865.113	5.073	y	1492.4	151.2	1.7	-1.8	4.531	10.74	-0.029	0.249	-0.069	130	144	156
1397773875.113	4.202	y	1492.5	151.5	-0.4	-0.7	3.676	10.75	-0.116	0.099	-0.145	155	148	155
1397773885.113	3.599	n	1492.5	150.2	0.4	-1.0	3.079	10.77	-0.144	0.087	-0.066	158	160	156
1397773895.113	2.947	y	1492.6	160.1	-3.0	0.7	2.436	10.79	-0.133	-0.005	-0.112	157	156	164
1397773905.112	1.828	n	1492.7	161.0	6.1	-5.8	1.305	10.8	-0.169	0.3	0.062	161	171	159
