

 Profile 181

mmho/cm,Celsius,dbars,hz

1.5282,16.3541,0.970, 2724
1.5283,16.3574,0.970, 2739
1.5283,16.3596,0.970, 2745
1.5283,16.3603,0.970, 2749
1.5282,16.3604,0.970, 2752
1.5282,16.3591,0.970, 2754
1.5281,16.3581,0.970, 2753
1.5279,16.3578,0.970, 2754
1.5279,16.3573,0.970, 2754
1.5278,16.3573,0.970, 2753
1.5277,16.3577,0.970, 2752
1.5276,16.3580,0.970, 2750
1.5275,16.3577,0.970, 2749
1.5275,16.3578,0.970, 2747
1.5275,16.3586,0.970, 2746
1.5274,16.3575,0.970, 2744
1.5273,16.3584,0.970, 2742
1.5272,16.3587,0.970, 2741
1.5272,16.3583,0.970, 2738
1.5271,16.3580,0.970, 2737
1.5270,16.3579,0.970, 2736
1.5269,16.3590,0.970, 2733
1.5269,16.3587,0.970, 2731
1.5269,16.3584,0.970, 2729
1.5267,16.3592,0.970, 2727
1.5267,16.3587,0.970, 2725
1.5266,16.3591,0.970, 2724
1.5266,16.3590,0.970, 2722
1.5265,16.3593,0.970, 2720
1.5265,16.3592,0.970, 2718
1.5264,16.3589,0.970, 2718
1.5263,16.3594,0.970, 2715
1.5263,16.3593,0.970, 2713
1.5262,16.3598,0.970, 2711
1.5262,16.3594,0.970, 2710
1.5261,16.3597,0.970, 2708
1.5260,16.3601,0.970, 2706
1.5259,16.3601,0.970, 2705
1.5258,16.3604,0.970, 2703
1.5259,16.3596,0.970, 2701
1.5258,16.3604,0.970, 2699
1.5257,16.3603,0.970, 2698
1.5257,16.3601,0.970, 2697
1.5255,16.3607,0.970, 2694
1.5255,16.3605,0.970, 2693
1.5255,16.3603,0.970, 2691
1.5254,16.3605,0.960, 2690
1.5254,16.3610,0.970, 2688
1.5253,16.3612,0.960, 2686
1.5253,16.3610,0.970, 2685
1.5252,16.3614,0.970, 2684
1.5252,16.3613,0.970, 2682
1.5251,16.3617,0.970, 2680
1.5251,16.3615,0.970, 2679
1.5250,16.3614,0.970, 2677
1.5250,16.3616,0.970, 2675
1.5249,16.3614,0.970, 2674
1.5249,16.3624,0.960, 2673
1.5248,16.3622,0.970, 2672
1.5247,16.3622,0.970, 2671
1.5247,16.3617,0.970, 2669
1.5246,16.3622,0.970, 2668
1.5246,16.3622,0.970, 2666
1.5246,16.3621,0.970, 2664
1.5245,16.3624,0.970, 2663
1.5245,16.3625,0.970, 2661
1.5244,16.3624,0.970, 2660
1.5244,16.3629,0.970, 2659
1.5243,16.3630,0.960, 2657
1.5243,16.3627,0.970, 2657
1.5242,16.3632,0.970, 2655
1.5242,16.3630,0.970, 2653
1.5241,16.3628,0.970, 2652
1.5241,16.3635,0.970, 2652
1.5240,16.3630,0.960, 2650
1.5240,16.3634,0.970, 2648
1.5240,16.3634,0.970, 2648
1.5239,16.3641,0.970, 2646
1.5238,16.3634,0.970, 2645
1.5238,16.3639,0.970, 2643
1.5237,16.3636,0.970, 2643
1.5237,16.3641,0.970, 2641
1.5237,16.3641,0.970, 2640
1.5237,16.3641,0.970, 2639
1.5236,16.3641,0.970, 2637
1.5235,16.3643,0.960, 2636
1.5235,16.3643,0.970, 2636
